approxAnzahl,areaRatio,circleLike,contureDistance,conturenAnzahl,farPoint,keyPointsAnzahl,mean_val,middlepointDistance,minimal_ratio,minimal_ratio2,momentpointDistance,rectangleLike,seradity,seradity2,solidity,solidity2,steiner,type
26,0.00441321579215597,0.37925027737287903,1.003807520602204,3,65806,434,254.0110592597328,-2.8100880853411097,2.7101545839761276,1.0454544730037627,-8.246211251235321,1.0207430129434096,0.5544195000044778,0.9701423560041281,0.6699331686764493,0.9783653846153846,5.0990195135927845,Dosenoeffner
27,0.06221802539082992,0.4420460103413104,1.0731254690564174,2,29660,432,240.19832985386222,-0.9987370322443213,2.0025291297206445,1.6734694326930222,24.331050121192877,1.2495280354521354,0.6506143762704918,0.954056956814649,0.4992875552668525,0.978225008248103,30.23243291566195,Korkenzieher
20,0.10985352862849534,0.49877136352623025,1.25126397633015,2,7145,418,228.53809834748103,7.272945408240227,3.0373831775700935,1.5853658536585367,23.769728648009426,1.5167550423321108,0.910870883739543,0.9518534973602496,0.7396912586419169,0.9640449438202248,16.278820596099706,Flaschenoeffner
20,0.013830344105573463,0.2534123002142241,1.5228709758609766,3,27976,322,249.38441193933178,7.473587168837972,1.6167665808430385,1.8026316915888145,-0.0,0.2777194559252447,0.7611319735769114,0.9588745642304007,0.7180557478881877,0.963531669865643,17.72004514666935,Dosenoeffner
19,0.008913326127480928,0.40100139632378123,1.0519242192091869,2,56244,407,252.97407975460123,4.510239610572982,2.3148008554659056,1.2083333426993002,-7.615773105863909,1.008971118248453,0.6701248519420633,0.9648467619291619,0.6484336908824964,0.9759862778730704,19.235384061671343,Dosenoeffner
18,0.10271596075616177,0.4845024686828008,1.1103504010663856,2,7794,310,230.2016698024459,6.756756756756756,3.7,1.562902077730934,29.698484809834994,1.4788006433844585,0.8979719191112031,0.9477620228744911,0.83681812872328,0.9279409115474689,10.63014581273465,Flaschenoeffner
17,0.17291442482403374,0.3164625191109707,1.0722472879089149,2,8871,422,213.89901872085738,5.771130000481299,2.8682329727222173,12.244009776585507,25.80697580112788,0.8860913935278438,0.8820086617768897,0.9265683429086188,0.832970876069004,0.841012441012441,18.027756377319946,Dosenoeffner
19,0.0814849456618564,0.5130912486302102,1.1419016095150902,2,11560,370,235.44899566758568,2.227020995572437,3.175124000143482,1.591228014139091,14.866068747318506,1.5473483768686511,0.9025229323133335,0.931972427842247,0.670569261095514,0.9003444881889764,8.06225774829855,Flaschenoeffner
22,0.006931891676754946,0.36621077318536577,0.9357323493942163,2,56989,506,253.4518359793513,-5.54247815224629,2.3455211988036937,1.0909090686165424,-6.324555320336759,0.7961262171661098,0.6232792586942291,0.9649702896532287,0.575627404373932,0.9743589743589743,25.80697580112788,Dosenoeffner
18,0.310303236218466,0.3396183921938654,1.2445796762291437,3,9427,417,132.73094455989812,8.944174010836596,2.2360924525583212,3.328125,29.0,0.9425588595214014,0.9169556988754968,0.9443232859950765,0.7730442433713738,0.764715733065394,20.248456731316587,Flaschenoeffner
20,1.0,0.4742820899654052,0.9348542586501738,1,57123,373,255.0,-4.979825508880042,3.413774231584127,3.413774231584127,-3.0,1.3505453966097964,0.6400119918145893,0.6400119918145893,0.6403352310210864,0.6403352310210864,21.587033144922902,Dosenoeffner
25,0.05397117448635388,0.09188596872241084,1.2598766624347417,6,13750,433,235.5150531286895,61.84689215104462,1.4591535684773056,1.9300125249567395,88.52683209061533,0.2978147014678617,0.848834743276613,0.9529442738919035,0.8040790447004121,0.9205020920502092,8.0,Flaschenoeffner
22,1.0,0.3391180929738298,1.0150672015442703,1,58224,423,255.0,-2.1479490617280352,2.7146602304219787,2.7146602304219787,-8.06225774829855,0.8918018683487585,0.6336032982967151,0.6336032982967151,0.70253421432862,0.70253421432862,6.0,Dosenoeffner
16,0.10718712753277712,0.29536555777488704,0.8849443437763805,2,5937,350,228.72151181994056,15.91855463584134,3.0186192280764295,1.5438446003925044,53.75872022286245,0.8345517881697107,0.9336742486730761,0.8567137505192656,0.9222212451635596,0.9260632272680466,12.649110640673518,Flaschenoeffner
15,0.11928934010152284,0.4948821631236386,1.4596677179971729,2,4835,331,226.52338811630847,5.0925866403959255,3.5399999352624407,1.5492956112514706,21.633307652783937,1.5121713564223938,0.9465751760399096,0.9436829075679533,0.8168242032397484,0.9286671131949096,8.54400374531753,Flaschenoeffner
29,0.03490759753593429,0.4226526065512412,1.3223665992401985,8,12000,419,230.0943982114023,11.43362831858407,2.973684210526316,2.227272727272727,35.0,1.258269927601648,0.7817298483682061,0.9302912146787923,0.6607222781694081,0.8808760683760684,5.0990195135927845,Korkenzieher
31,0.05745781322237633,0.24576910405516939,1.4188649098761101,3,23431,462,235.9772688623094,39.69158234605109,1.1671225118645525,3.1507732183282076,33.54101966249684,0.21924026223270443,0.660137249301195,0.9264426013662352,0.5123126457199956,0.858963282937365,16.15549442140351,Korkenzieher
30,0.013884080049858043,0.22133745779563518,1.3759652257187514,2,22193,449,251.78060981419725,-6.280597782248286,1.2836768135488652,1.0000000870128531,54.45181356024793,1.4450240672147738,0.7958327549886222,0.9682454642360757,0.521462811334892,0.9828431372549019,65.0,Korkenzieher
27,0.006465099239273323,0.2775689557686921,0.8293173679181106,2,15904,410,253.51630434782606,18.83874089181063,1.9981728431649695,1.3913043376279828,34.17601498127012,0.6827090333562954,0.8683847460903422,0.95945111989789,0.7742737481436985,0.967741935483871,24.596747752497688,Dosenoeffner
